V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,V_16,V_17,V_18,V_19,V_20,V_21,V_22,V_23,V_24,V_25,V_26,V_27,V_28,V_29,V_30,V_31,V_32,V_33,V_34,V_35,V_36,V_37,V_38,V_39,V_40,V_41,V_42,TargetVariable
5.470846363,1.604732928,42.9045563,29.1648521,70.321785,39.6439667,58.6773872,8411.591,32.454483,409.943939,56.6130447,985.9119,23.9,23.99336,1.04576218,25.6690521,73.68772,53.5678978,51.8885078,73,271.324677,33.8593636,3.71374941,568,32.09736,170.85881,370.114,369.38,73,114.9166,27,1.04421365,3119.53955,8396.418,273.707581,255.182755,3318.40259,3757.50122,11.2449417,2396.6582,1800.14209,7.856268,725.4166667
5.230746027,1.600066337,43.1677742,29.2908535,70.387,39.75768,58.80209,8436.699,31.5325317,408.6847,56.4927139,991.872864,23.9,23.9856319,1.04512322,25.6427727,73.86893,53.0230942,50.87045,73,268.112823,33.411068,6.666153,569,31.9268456,169.525269,370.885864,371.233582,73,124.1,27,1.04559934,3116.31519,8441.978,272.830658,255.93866,3291.77515,3725.914,11.49856,2406.50049,1798.97571,7.466827,767.5
4.754871735,1.747286473,42.5993729,29.0593452,69.60907,40.02492,58.7652931,8406.22949,31.3228149,405.357361,56.0769043,991.8558,23.9,23.92729,1.04491985,25.651432,74.09781,52.1833954,48.32267,72,273.301941,31.2353172,5.69660044,566,31.7886753,168.398758,370.0422,369.491882,73,123.37,27,1.04456854,3109.27979,8411.584,275.422852,251.432129,3269.78857,3769.17065,11.2602205,2404.47974,1947.33948,6.737913,711.0833333
4.782851293,1.754971887,43.1296272,29.2762146,68.76759,40.49765,58.5685654,8384.182,31.36679,407.847137,56.378273,988.839539,23.9,23.92909,1.04498541,25.6692028,74.05966,52.384182,48.054554,73,271.233978,32.0889435,10.8520813,569,31.9180355,168.186737,369.13974,369.1236,73,114.240623,27,1.04400218,3121.85547,8393.526,271.857544,256.72348,3289.107,3728.174,11.2874908,2394.05664,1949.60278,7.22574472,723.3333333
4.816106347,1.762895386,43.2788963,29.44155,69.5636139,40.37651,58.4129143,8363.884,32.18947,408.228149,56.3401222,990.557739,23.9,23.9270344,1.04471982,25.6658115,74.05966,52.34641,48.5916672,73,269.5269,32.14012,11.3228035,569,31.9087944,168.275375,368.0165,368.226318,73,114.240623,27,1.04578757,3093.55518,8387.476,274.522156,254.967422,3267.676,3694.57153,11.2219086,2400.64844,1948.30774,7.099528,714.6
5.248557052,1.802828588,42.2941933,37.71986,67.78116,45.0965576,58.1527634,8289.18,22.9672146,396.793365,56.6071548,990.5763,23.30138,23.2134724,1.04464912,25.4425964,74.05966,53.451767,48.5383,70,271.3637,33.18379,4.7795167,550,30.8777447,168.607864,364.754456,364.770233,73,114.240623,27,1.04461873,3067.032,8263.992,269.29187,315.481964,2167.24829,2470.602,11.8618088,2412.33472,1956.516,7.50496,754.4166667
5.213020847,1.800746918,42.33238,37.4596176,68.3478546,44.57892,57.9204369,8245.636,23.1716461,395.627045,56.1875343,991.9717,23.3,23.2172222,1.0446378,25.47271,74.06511,53.6410255,47.9128265,70,271.653259,32.48376,9.970852,550,30.8362,168.9191,363.0835,362.778534,73,114.240623,27,1.0449183,3035.493,8267.753,272.169952,307.3834,2227.7644,2510.66138,11.3152237,2401.80884,1957.80127,7.033687,754.0833333
5.279632798,1.817861836,44.9187469,33.80491,67.64706,41.16194,57.21139,8139.08057,31.02417,411.218781,57.591362,1003.545,23.300703,23.26672,1.04127836,24.9709663,73.9356842,51.1986771,49.1380959,76,271.933563,32.4074554,10.5984564,592.8,31.2457142,161.394516,359.012238,359.0623,71.00001,105.193611,28.9999924,1.042251,3334.53979,8142.81836,275.741,276.322479,2927.24023,3297.33545,12.2270432,2413.621,1960.07129,7.87965441,719.9
5.237100735,1.797611655,44.6517143,32.5557632,68.14143,40.5227776,57.742,8220.754,32.37686,412.15155,58.08728,1003.76862,23.3,23.2909489,1.0450691,24.9612427,73.98337,51.1297,48.8366,76,267.824219,32.63177,4.17174149,595,31.59439,159.029678,361.437653,361.827942,71.00001,113.600014,28.9999924,1.0449754,3349.66577,8233.058,269.6972,271.0319,3142.5293,3454.4187,12.5598068,2413.77075,1960.86377,7.43878365,717
5.261539667,1.651535846,55.58752,36.64661,65.1280746,38.17363,55.10377,7716.07568,40.0815735,440.134521,61.6564369,839.375,22,22.0144825,1.04469073,20.77411,73.72674,46.34846,50.9396858,89,272.1468,31.9769764,13.2000227,691.8718,30.72408,136.55983,340.7302,341.2892,67,83.9376,33,1.04481423,3815.64355,7752.59668,257.043152,278.868866,2946.684,3343.0293,11.4709473,2309.4834,1699.06323,7.84790134,602.2
5.248388532,1.640973263,55.71069,36.560833,65.73498,38.22935,55.3659439,7819.669,40.269043,442.180542,61.4251938,781.116638,22,22.02167,1.04504943,20.5740261,73.84604,44.26247,50.75672,90,270.0518,31.0017433,12.8993282,699.9,30.9694157,134.78508,343.426422,343.8789,67,83.84715,33,1.04481936,3852.57739,7839.94531,255.326523,267.646851,3038.89014,3406.36621,11.3208008,2315.404,1700.40442,7.76408243,611.1666667
4.194868605,1.611830542,55.9739075,35.99377,66.10874,39.2821236,56.29996,7979.61,39.0505371,442.7292,61.8013878,781.82,21.4,21.351635,1.04474092,19.6675434,73.7544861,42.5756569,51.214695,93,268.948669,32.4664,11.21948,720,31.9696884,133.7632,351.026581,352.117432,67,83.0465,33,1.04531014,3931.14063,7981.15967,251.0782,272.199554,3131.10425,3532.66479,11.163475,2299.382,1700.35352,7.29146242,590.6666667
4.243092618,1.625736958,55.45598,35.19559,66.2710342,40.0386734,55.89577,7899.9585,38.9212646,443.8065,61.72656,745.313232,21.4,21.3606377,1.04505658,19.6879845,73.79263,41.3153267,50.664856,93,271.9813,32.60171,10.112093,720,31.9862881,134.492752,347.932983,347.5985,67,83.22606,33,1.045047,3881.66528,7922.29639,257.393524,277.190918,3100.17114,3446.24829,11.5174637,2311.87744,1700.59607,7.4446125,567.5
4.236549181,1.630445525,56.8856354,36.13463,65.3277359,40.45587,55.5510635,7796.96729,38.81662,443.237823,62.6382866,747.482239,21.4,21.3425922,1.045394,19.7074814,73.86893,41.96048,49.9862137,93,269.259918,33.32002,6.158597,720,31.9937439,131.50943,343.7424,343.244568,66,81.98388,34,1.04497242,4030.102,7835.29736,248.8842,275.2765,3063.48657,3435.46875,11.3678169,2310.0022,1700.612,6.49274063,593.75
4.304154446,1.63971696,56.77119,36.12581,65.25521,40.7852974,55.59262,7818.94775,38.7484436,441.620636,62.9434662,748.491,21.4,21.3317947,1.04503393,19.723156,73.7831,41.2056961,50.59965,93,269.013763,32.2703972,4.403855,720,31.9918365,133.441132,344.002167,344.162659,66,81.98388,34,1.04476941,4025.43066,7804.516,250.262756,278.5367,3073.518,3458.2998,11.2305269,2310.76758,1699.82349,7.097827,582.5833333
4.641925206,1.65541115,58.2543678,37.0989075,64.80232,40.4056,55.1358871,7741.195,38.58069,440.0982,63.62631,749.6959,21.4,21.3319874,1.0448252,19.6890736,73.6781845,41.1511421,50.91896,93,269.5303,33.6757126,5.26555061,720,32.20577,133.335922,341.276642,340.926025,65,81.34425,35,1.04403579,4192.495,7730.22754,238.406647,281.102783,3012.189,3403.79932,11.0444565,2291.142,1701.25122,6.72951269,582.4166667
4.588363162,1.635489959,57.98692,36.9137764,65.14076,39.7784157,55.211895,7769.54834,40.1283264,442.099121,63.321125,747.6762,21.4,21.3090839,1.04477751,19.7232189,73.7544861,41.5235443,51.0979538,93,270.421875,33.40428,8.614159,720,32.23207,134.484665,341.783234,342.811157,65,81.2565,35,1.04538989,4177.549,7761.71729,240.4838,277.126343,3036.97144,3438.03882,11.2248316,2316.583,1699.01941,7.279309,568.5
6.053271179,7.10E-05,54.9035454,42.5335655,51.2474251,40.806694,44.3451233,5372.7915,37.3761,451.0913,61.9172974,745.272949,19.6,19.5659676,1.03535914,17.15017,56.0514755,34.18774,35.7622871,101,39.22495,21.2478123,31.4562,790,26.9131031,100.234856,236.65007,236.8969,57.8999939,54.2685051,42.1000061,1.03498042,3921.40967,5373.16357,258.008728,320.025421,3219.13843,1354.79956,10.1990814,2008.21033,0.050978918,6.89164352,355.625
4.699126943,1.616249011,42.5263023,28.9815826,65.7584839,47.87521,58.1254845,8292.849,21.9073639,390.699219,55.5046921,1131.77161,23.4,23.4571457,1.03442979,27.0034828,74.32288,55.5116272,46.6177063,65,261.816528,33.53188,10.1156492,504,31.1272373,184.345978,364.473267,364.885345,74,126.6325,26,1.03419876,2898.56934,8293.378,293.4585,266.907074,3250.89941,3524.061,12.4099731,2408.84644,1701.72571,7.068076,797.1666667
5.089956177,1.588975638,42.446785,29.29018,66.06114,48.2295036,58.47078,8366.444,22.37259,388.076752,56.0769043,1120.41321,23.4,23.460619,1.03467166,27.0110188,74.38646,55.1914978,46.29717,65,257.024933,32.71666,4.96221542,504.0028,31.1708164,185.207352,367.9551,368.352661,74,126.6325,26,1.03581107,2956.31079,8372.162,283.2409,273.782257,3256.07056,3542.13232,12.5133514,2415.522,1700.14429,7.56663656,776.8333333
4.931990337,1.569384423,42.9483566,28.511425,66.996994,48.74223,59.2039,8509.439,21.2185974,390.801666,54.74937,1119.69568,23.4,23.4701977,1.03511691,26.97007,74.36103,55.3224258,46.45224,65,261.483765,35.7987137,13.0221939,504.0023,30.8865,186.319717,374.3701,374.415344,74,126.6325,26,1.03423166,2999.61,8515.922,301.855957,263.690155,3366.01636,3619.267,10.973526,2415.101,1701.32642,7.9180336,771.25
5.082718264,1.602560034,43.2726059,29.2174435,66.50645,49.524704,58.7624321,8432.087,21.0903625,392.1592,55.80987,1119.24988,23.4,23.4913235,1.03450823,26.9832859,74.29904,55.4268,46.7571373,65,258.201447,32.3846855,10.682373,504,31.11375,185.081528,369.928223,369.815155,74,126.6325,26,1.03520727,2960.699,8385.051,300.040833,270.369873,3308.21118,3591.19263,12.6600113,2415.57544,1700.30627,7.42986727,755.0833333
